,date,11
0,2004-01m,62
1,2004-02m,59
2,2004-03m,59
3,2004-04m,62
4,2004-05m,61
5,2004-06m,63
6,2004-07m,65
7,2004-08m,63
8,2004-09m,62
9,2004-10m,62
10,2004-11m,63
11,2004-12m,52
12,2005-01m,65
13,2005-02m,63
14,2005-03m,63
15,2005-04m,65
16,2005-05m,65
17,2005-06m,63
18,2005-07m,63
19,2005-08m,66
20,2005-09m,63
21,2005-10m,67
22,2005-11m,63
23,2005-12m,56
24,2006-01m,67
25,2006-02m,62
26,2006-03m,61
27,2006-04m,64
28,2006-05m,66
29,2006-06m,63
30,2006-07m,71
31,2006-08m,69
32,2006-09m,67
33,2006-10m,65
34,2006-11m,66
35,2006-12m,57
36,2007-01m,71
37,2007-02m,64
38,2007-03m,63
39,2007-04m,66
40,2007-05m,65
41,2007-06m,63
42,2007-07m,63
43,2007-08m,60
44,2007-09m,59
45,2007-10m,59
46,2007-11m,60
47,2007-12m,53
48,2008-01m,61
49,2008-02m,57
50,2008-03m,56
51,2008-04m,56
52,2008-05m,53
53,2008-06m,53
54,2008-07m,51
55,2008-08m,51
56,2008-09m,48
57,2008-10m,48
58,2008-11m,48
59,2008-12m,44
60,2009-01m,51
61,2009-02m,46
62,2009-03m,48
63,2009-04m,47
64,2009-05m,48
65,2009-06m,46
66,2009-07m,49
67,2009-08m,48
68,2009-09m,47
69,2009-10m,46
70,2009-11m,46
71,2009-12m,40
72,2010-01m,45
73,2010-02m,44
74,2010-03m,44
75,2010-04m,44
76,2010-05m,45
77,2010-06m,43
78,2010-07m,45
79,2010-08m,45
80,2010-09m,42
81,2010-10m,42
82,2010-11m,43
83,2010-12m,36
84,2011-01m,53
85,2011-02m,52
86,2011-03m,50
87,2011-04m,50
88,2011-05m,53
89,2011-06m,50
90,2011-07m,51
91,2011-08m,52
92,2011-09m,48
93,2011-10m,49
94,2011-11m,51
95,2011-12m,46
96,2012-01m,53
97,2012-02m,50
98,2012-03m,50
99,2012-04m,51
100,2012-05m,52
101,2012-06m,50
102,2012-07m,50
103,2012-08m,51
104,2012-09m,51
105,2012-10m,50
106,2012-11m,52
107,2012-12m,47
108,2013-01m,53
109,2013-02m,51
110,2013-03m,52
111,2013-04m,54
112,2013-05m,53
113,2013-06m,51
114,2013-07m,53
115,2013-08m,53
116,2013-09m,54
117,2013-10m,54
118,2013-11m,55
119,2013-12m,50
120,2014-01m,57
121,2014-02m,54
122,2014-03m,53
123,2014-04m,58
124,2014-05m,55
125,2014-06m,54
126,2014-07m,56
127,2014-08m,57
128,2014-09m,54
129,2014-10m,57
130,2014-11m,57
131,2014-12m,51
132,2015-01m,57
133,2015-02m,55
134,2015-03m,56
135,2015-04m,56
136,2015-05m,57
137,2015-06m,56
138,2015-07m,57
139,2015-08m,56
140,2015-09m,54
141,2015-10m,55
142,2015-11m,58
143,2015-12m,51
144,2016-01m,62
145,2016-02m,60
146,2016-03m,59
147,2016-04m,61
148,2016-05m,61
149,2016-06m,59
150,2016-07m,61
151,2016-08m,61
152,2016-09m,60
153,2016-10m,62
154,2016-11m,62
155,2016-12m,56
156,2017-01m,64
157,2017-02m,62
158,2017-03m,62
159,2017-04m,64
160,2017-05m,66
161,2017-06m,63
162,2017-07m,67
163,2017-08m,65
164,2017-09m,67
165,2017-10m,66
166,2017-11m,67
167,2017-12m,58
168,2018-01m,66
169,2018-02m,63
170,2018-03m,63
171,2018-04m,66
172,2018-05m,65
173,2018-06m,64
174,2018-07m,65
175,2018-08m,64
176,2018-09m,63
177,2018-10m,63
178,2018-11m,66
179,2018-12m,59
180,2019-01m,67
181,2019-02m,64
182,2019-03m,67
183,2019-04m,69
184,2019-05m,66
185,2019-06m,65
186,2019-07m,68
187,2019-08m,68
188,2019-09m,65
189,2019-10m,68
190,2019-11m,71
191,2019-12m,63
192,2020-01m,69
193,2020-02m,68
194,2020-03m,66
195,2020-04m,86
196,2020-05m,100
197,2020-06m,98
