,Categ_name,quarter,GT,DI,3m Bond,cci,CPI,vix,CS
0,Air Travel: 203,2004Q4,70.66666666666667,6090,4.8196666666666665,-4.833333333333333,77.1,12.5,3324
1,Air Travel: 203,2005Q1,88.0,6074,4.881666666666667,-3.3666666666666667,77.3,10.836666666666664,3344
2,Air Travel: 203,2005Q2,85.0,6248,4.8806666666666665,-4.5,78.0,11.336666666666664,3332
3,Air Travel: 203,2005Q3,90.33333333333331,6161,4.6097282608695656,-4.533333333333333,78.4,10.836666666666668,3442
4,Air Travel: 203,2005Q4,69.33333333333333,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,3435
5,Air Travel: 203,2006Q1,82.33333333333333,6206,4.5295084745762715,-6.0,78.7,12.633333333333333,3423
6,Air Travel: 203,2006Q2,78.0,6254,4.576666666666666,-5.7333333333333325,79.8,16.766666666666666,3511
7,Air Travel: 203,2006Q3,92.66666666666669,6197,4.743666666666666,-6.933333333333334,80.3,14.87,3621
8,Air Travel: 203,2006Q4,67.66666666666667,6240,5.100666666666666,-5.3,80.9,13.063333333333333,3716
9,Air Travel: 203,2007Q1,79.0,6239,5.426333333333332,-7.966666666666666,81.0,15.373333333333335,3705
10,Air Travel: 203,2007Q2,74.0,6274,5.681,-5.166666666666667,81.8,14.769999999999998,4241
11,Air Travel: 203,2007Q3,78.0,6258,5.841666666666668,-4.966666666666667,81.7,22.02333333333333,3609
12,Air Travel: 203,2007Q4,58.33333333333334,6241,5.579,-6.433333333333334,82.6,22.66333333333333,3716
13,Air Travel: 203,2008Q1,66.33333333333333,6268,5.138000000000001,-10.133333333333333,82.9,28.06,3861
14,Air Travel: 203,2008Q2,60.33333333333334,6143,5.101333333333334,-20.233333333333334,84.6,21.48,3794
15,Air Travel: 203,2008Q3,58.66666666666666,6031,5.074999999999998,-26.20000000000001,85.7,26.99333333333333,3630
16,Air Travel: 203,2008Q4,41.66666666666666,5811,2.3183333333333334,-25.16666666666667,85.8,45.9,3722
17,Air Travel: 203,2009Q1,48.0,5617,0.8266666666666667,-27.23333333333333,85.4,38.863333333333344,3578
18,Air Travel: 203,2009Q2,45.0,5665,0.5906666666666666,-19.366666666666667,86.4,27.616666666666664,3536
19,Air Travel: 203,2009Q3,48.33333333333334,5840,0.4533333333333334,-13.833333333333336,86.9,23.07333333333333,3237
20,Air Travel: 203,2009Q4,37.333333333333336,5820,0.4823333333333333,-9.4,87.6,24.59666666666667,3339
21,Air Travel: 203,2010Q1,42.0,5815,0.5273333333333333,-7.733333333333332,88.2,19.37,3422
22,Air Travel: 203,2010Q2,44.0,5882,0.5426666666666667,-10.566666666666666,89.3,24.91,3359
23,Air Travel: 203,2010Q3,40.333333333333336,5885,0.5523333333333333,-14.033333333333333,89.6,22.26,3560
24,Air Travel: 203,2010Q4,34.333333333333336,5864,0.5766666666666665,-17.233333333333334,90.5,21.003333333333334,3687
25,Air Travel: 203,2011Q1,43.0,5862,0.6253333333333333,-21.433333333333334,91.8,18.186666666666667,3934
26,Air Travel: 203,2011Q2,42.333333333333336,5943,0.594,-20.83333333333333,93.3,15.78,4070
27,Air Travel: 203,2011Q3,44.0,5835,0.5556666666666668,-23.2,93.8,28.49,4175
28,Air Travel: 203,2011Q4,33.666666666666664,5917,0.52,-25.96666666666667,94.7,24.566666666666666,4185
29,Air Travel: 203,2012Q1,38.333333333333336,5811,0.4933333333333334,-23.03333333333333,95.1,18.243333333333336,4277
30,Air Travel: 203,2012Q2,38.0,5831,0.4803333333333333,-24.73333333333333,95.8,21.166666666666664,4496
31,Air Travel: 203,2012Q3,39.333333333333336,5904,0.439,-22.066666666666666,96.1,17.173333333333336,4510
32,Air Travel: 203,2012Q4,30.66666666666667,5819,0.445,-21.266666666666666,97.3,15.306666666666667,4275
33,Air Travel: 203,2013Q1,36.333333333333336,5749,0.3706666666666667,-20.566666666666666,97.7,13.159999999999998,4306
34,Air Travel: 203,2013Q2,36.66666666666666,5899,0.3686666666666665,-18.666666666666668,98.4,15.75,4850
35,Air Travel: 203,2013Q3,37.333333333333336,5913,0.37333333333333335,-10.366666666666667,98.7,16.653333333333332,4696
36,Air Travel: 203,2013Q4,30.66666666666667,5979,0.381,-10.699999999999998,99.3,12.339999999999998,4797
37,Air Travel: 203,2014Q1,35.333333333333336,6005,0.3586666666666667,-5.766666666666668,99.4,14.78,4855
38,Air Travel: 203,2014Q2,36.0,6062,0.37833333333333335,-3.0666666666666664,100.1,11.513333333333335,4830
39,Air Travel: 203,2014Q3,38.333333333333336,6095,0.4406666666666667,-3.2,100.1,13.013333333333335,4717
40,Air Travel: 203,2014Q4,29.66666666666667,6050,0.44,-3.866666666666666,100.2,14.340000000000002,4926
41,Air Travel: 203,2015Q1,34.333333333333336,6149,0.424,-0.9666666666666668,99.5,14.88,5140
42,Air Travel: 203,2015Q2,34.666666666666664,6267,0.4653333333333333,-0.7999999999999999,100.1,16.843333333333334,4964
43,Air Travel: 203,2015Q3,37.0,6194,0.4726666666666667,-0.13333333333333333,100.1,20.67,5245
44,Air Travel: 203,2015Q4,29.66666666666667,6045,0.4733333333333333,-0.16666666666666666,100.3,16.44333333333333,5217
45,Air Travel: 203,2016Q1,33.666666666666664,6154,0.4663333333333333,-0.30000000000000004,99.8,20.143333333333327,5033
46,Air Travel: 203,2016Q2,34.666666666666664,6182,0.4576666666666666,-2.1666666666666665,100.4,18.013333333333332,5175
47,Air Travel: 203,2016Q3,37.66666666666666,6248,0.2466666666666667,-7.166666666666665,100.9,13.5,5618
48,Air Travel: 203,2016Q4,29.33333333333333,6357,0.218,-4.9,101.5,14.513333333333335,5584
49,Air Travel: 203,2017Q1,33.333333333333336,6375,0.21866666666666668,-6.2,102.0,11.956666666666665,5769
50,Air Travel: 203,2017Q2,35.333333333333336,6316,0.18466666666666665,-6.933333333333333,103.2,11.956666666666665,5878
51,Air Travel: 203,2017Q3,39.0,6363,0.20066666666666666,-7.833333333333332,103.7,10.963333333333333,5549
52,Air Travel: 203,2017Q4,30.66666666666667,6391,0.36933333333333335,-7.666666666666668,104.6,10.07,5965
53,Air Travel: 203,2018Q1,35.333333333333336,6399,0.37366666666666665,-6.8,104.7,13.453333333333333,6703
54,Air Travel: 203,2018Q2,35.333333333333336,6437,0.5076666666666667,-6.433333333333334,105.7,12.973333333333334,6563
55,Air Travel: 203,2018Q3,37.0,6420,0.7246666666666667,-5.666666666666668,106.3,12.103333333333332,6516
56,Air Travel: 203,2018Q4,29.33333333333333,6399,0.7143333333333333,-8.1,106.9,18.930000000000003,6515
57,Air Travel: 203,2019Q1,33.0,6492,0.6983333333333334,-11.266666666666666,106.7,13.423333333333336,6589
58,Air Travel: 203,2019Q2,34.333333333333336,6454,0.741,-9.966666666666667,107.8,12.073333333333332,6362
59,Animal Products & Services: 882,2004Q4,65.33333333333333,6090,4.8196666666666665,-4.833333333333333,77.1,12.5,704
60,Animal Products & Services: 882,2005Q1,70.33333333333333,6074,4.881666666666667,-3.3666666666666667,77.3,10.836666666666664,730
61,Animal Products & Services: 882,2005Q2,68.66666666666667,6248,4.8806666666666665,-4.5,78.0,11.336666666666664,723
62,Animal Products & Services: 882,2005Q3,72.0,6161,4.6097282608695656,-4.533333333333333,78.4,10.836666666666668,723
63,Animal Products & Services: 882,2005Q4,70.66666666666667,6264,4.530333333333334,-6.7333333333333325,78.8,12.873333333333335,734
64,Animal Products & Services: 882,2006Q1,74.33333333333333,6206,4.5295084745762715,-6.0,78.7,12.633333333333333,746
65,Animal Products & Services: 882,2006Q2,72.33333333333333,6254,4.576666666666666,-5.7333333333333325,79.8,16.766666666666666,764
66,Animal Products & Services: 882,2006Q3,75.33333333333333,6197,4.743666666666666,-6.933333333333334,80.3,14.87,760
67,Animal Products & Services: 882,2006Q4,71.66666666666667,6240,5.100666666666666,-5.3,80.9,13.063333333333333,763
68,Animal Products & Services: 882,2007Q1,74.66666666666667,6239,5.426333333333332,-7.966666666666666,81.0,15.373333333333335,782
69,Animal Products & Services: 882,2007Q2,71.33333333333333,6274,5.681,-5.166666666666667,81.8,14.769999999999998,810
70,Animal Products & Services: 882,2007Q3,71.33333333333333,6258,5.841666666666668,-4.966666666666667,81.7,22.02333333333333,814
71,Animal Products & Services: 882,2007Q4,65.66666666666667,6241,5.579,-6.433333333333334,82.6,22.66333333333333,881
72,Animal Products & Services: 882,2008Q1,68.33333333333333,6268,5.138000000000001,-10.133333333333333,82.9,28.06,852
73,Animal Products & Services: 882,2008Q2,64.0,6143,5.101333333333334,-20.233333333333334,84.6,21.48,835
74,Animal Products & Services: 882,2008Q3,64.33333333333333,6031,5.074999999999998,-26.20000000000001,85.7,26.99333333333333,820
75,Animal Products & Services: 882,2008Q4,58.0,5811,2.3183333333333334,-25.16666666666667,85.8,45.9,830
76,Animal Products & Services: 882,2009Q1,60.0,5617,0.8266666666666667,-27.23333333333333,85.4,38.863333333333344,833
77,Animal Products & Services: 882,2009Q2,56.66666666666666,5665,0.5906666666666666,-19.366666666666667,86.4,27.616666666666664,841
