quarter,Categ_name,cci,DI,CS,GT,vix,3m Bond,CPI
2005Q1,Mail & Package Delivery: 1150,-3.3666666666666667,6074,185,1.6666666666666572,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Kitchen & Dining: 951,-3.3666666666666667,6074,1337,0.3333333333333428,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Animal Products & Services: 882,-3.3666666666666667,6074,730,5.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Auto Insurance: 467,-3.3666666666666667,6074,943,22.666666666666686,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Meat & Seafood: 909,-3.3666666666666667,6074,3951,-2.6666666666666714,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Mobile & Wireless: 382,-3.3666666666666667,6074,179,-1.3333333333333712,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Candy & Sweets: 906,-3.3666666666666667,6074,1758,6.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Health Insurance: 249,-3.3666666666666667,6074,445,14.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Transportation & Logistics: 50,-3.3666666666666667,6074,1190,4.333333333333329,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Water Supply & Treatment: 1349,-3.3666666666666667,6074,757,24.66666666666668,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Beer: 404,-3.3666666666666667,6074,839,4.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Motorcycles: 273,-3.3666666666666667,6074,158,7.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Clothing Accessories: 124,-3.3666666666666667,6074,1467,-12.666666666666671,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Wine: 405,-3.3666666666666667,6074,1472,-15.999999999999986,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Fruits & Vegetables: 908,-3.3666666666666667,6074,3723,3.3333333333333215,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Liquor: 406,-3.3666666666666667,6074,778,2.666666666666657,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Vehicle Maintenance: 138,-3.3666666666666667,6074,4100,10.333333333333343,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Education: 74,-3.3666666666666667,6074,2655,9.333333333333314,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Baked Goods: 907,-3.3666666666666667,6074,2450,0.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Electricity: 658,-3.3666666666666667,6074,2357,1.6666666666666572,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Home Furnishings: 270,-3.3666666666666667,6074,2627,1.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Apartments & Residential Rentals: 378,-3.3666666666666667,6074,46505,21.000000000000014,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Vehicle Fuels & Lubricants: 1269,-3.3666666666666667,6074,5765,8.666666666666671,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Drugs & Medications: 646,-3.3666666666666667,6074,835,7.666666666666686,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Lottery & Sweepstakes: 364,-3.3666666666666667,6074,2150,2.3333333333333357,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Sporting Goods: 263,-3.3666666666666667,6074,546,2.333333333333343,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Audio Equipment: 361,-3.3666666666666667,6074,1409,-4.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Domestic Services: 472,-3.3666666666666667,6074,879,11.666666666666657,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Vehicle Parts & Accessories: 89,-3.3666666666666667,6074,1182,10.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Camera & Photo Equipment: 573,-3.3666666666666667,6074,1079,-12.666666666666671,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Major Kitchen Appliances: 1293,-3.3666666666666667,6074,1391,0.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Non-Alcoholic Beverages: 560,-3.3666666666666667,6074,2060,1.6666666666666572,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Apparel: 68,-3.3666666666666667,6074,10767,-6.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Bicycles & Accessories: 1191,-3.3666666666666667,6074,261,1.6666666666666714,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Hobbies & Leisure: 65,-3.3666666666666667,6074,1783,1.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Small Kitchen Appliances: 1292,-3.3666666666666667,6074,186,-9.333333333333343,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Tobacco Products: 123,-3.3666666666666667,6074,3873,-2.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Restaurants: 276,-3.3666666666666667,6074,15665,-0.6666666666666572,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Automotive Industry: 1190,-3.3666666666666667,6074,9669,6.333333333333329,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Home Financing: 466,-3.3666666666666667,6074,747,25.000000000000014,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Air Travel: 203,-3.3666666666666667,6074,3344,17.33333333333333,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Hotels & Accommodations: 179,-3.3666666666666667,6074,3481,16.666666666666643,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q1,Home Insurance: 465,-3.3666666666666667,6074,1122,20.0,-1.6633333333333358,0.06200000000000028,0.20000000000000284
2005Q2,Audio Equipment: 361,-4.5,6248,1349,-11.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Domestic Services: 472,-4.5,6248,1085,-2.3333333333333144,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Water Supply & Treatment: 1349,-4.5,6248,847,-21.333333333333343,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Drugs & Medications: 646,-4.5,6248,754,-7.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Tobacco Products: 123,-4.5,6248,3841,-3.999999999999986,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Sporting Goods: 263,-4.5,6248,562,11.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Lottery & Sweepstakes: 364,-4.5,6248,2223,3.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Baked Goods: 907,-4.5,6248,2493,-0.6666666666666679,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Vehicle Parts & Accessories: 89,-4.5,6248,926,3.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Automotive Industry: 1190,-4.5,6248,9619,4.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Apartments & Residential Rentals: 378,-4.5,6248,47218,-0.33333333333337123,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Clothing Accessories: 124,-4.5,6248,1446,-5.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Mobile & Wireless: 382,-4.5,6248,192,-7.666666666666629,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Transportation & Logistics: 50,-4.5,6248,1215,1.6666666666666714,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Vehicle Fuels & Lubricants: 1269,-4.5,6248,5991,1.6666666666666572,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Restaurants: 276,-4.5,6248,15683,-3.333333333333343,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Fruits & Vegetables: 908,-4.5,6248,3716,2.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Meat & Seafood: 909,-4.5,6248,4058,-2.3333333333333357,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Liquor: 406,-4.5,6248,815,-11.666666666666657,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Bicycles & Accessories: 1191,-4.5,6248,247,13.333333333333343,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Major Kitchen Appliances: 1293,-4.5,6248,1308,-5.0,0.5,-0.001000000000000334,0.7000000000000028
2005Q2,Camera & Photo Equipment: 573,-4.5,6248,1093,-0.6666666666666572,0.5,-0.001000000000000334,0.7000000000000028
