,quarter,Categ_name,GT,GT_lag1,GT_lag2,DI,DI_lag1,DI_lag2,3m Bond,3m Bond_lag1,3m Bond_lag2,cci,cci_lag1,cci_lag2,CPI,CPI_lag1,CPI_lag2,vix,vix_lag1,vix_lag2,CS,CS_lag1,CS_lag2,Air Travel: 203,Animal Products & Services: 882,Apartments & Residential Rentals: 378,Apparel: 68,Audio Equipment: 361,Auto Insurance: 467,Automotive Industry: 1190,Baked Goods: 907,Beer: 404,Bicycles & Accessories: 1191,Camera & Photo Equipment: 573,Candy & Sweets: 906,Clothing Accessories: 124,Domestic Services: 472,Drugs & Medications: 646,Education: 74,Electricity: 658,Fruits & Vegetables: 908,Health Insurance: 249,Hobbies & Leisure: 65,Home Financing: 466,Home Furnishings: 270,Home Insurance: 465,Hotels & Accommodations: 179,Kitchen & Dining: 951,Liquor: 406,Lottery & Sweepstakes: 364,Mail & Package Delivery: 1150,Major Kitchen Appliances: 1293,Meat & Seafood: 909,Mobile & Wireless: 382,Motorcycles: 273,Non-Alcoholic Beverages: 560,Restaurants: 276,Small Kitchen Appliances: 1292,Sporting Goods: 263,Tobacco Products: 123,Transportation & Logistics: 50,Vehicle Fuels & Lubricants: 1269,Vehicle Maintenance: 138,Vehicle Parts & Accessories: 89,Water Supply & Treatment: 1349,Wine: 405
0,2005Q1,Air Travel: 203,2.5254117866071875,0.0,0.0,0.2866531912527776,0.0,0.0,0.3328188927122616,0.0,0.0,0.9545490659745428,0.0,0.0,-0.6209766831709137,0.0,0.0,-0.3520436133960609,0.0,0.0,3344,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2005Q2,Air Travel: 203,-0.367122532845748,2.5254117866071875,0.0,1.2261995232704832,0.2866531912527776,0.0,0.19911925990381396,0.3328188927122616,0.0,0.8226078605671909,0.9545490659745428,0.0,0.3919640056894504,-0.6209766831709137,0.0,0.07504960971536624,-0.3520436133960609,0.0,3332,-0.09427519832559664,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2005Q3,Air Travel: 203,0.8183423521759444,-0.367122532845748,2.5254117866071875,0.7564263572616303,1.2261995232704832,0.2866531912527776,-0.3737484501909441,0.19911925990381396,0.3328188927122616,0.8187272368787395,0.8226078605671909,0.9545490659745428,-0.2158004076267623,0.3919640056894504,-0.6209766831709137,-0.12237406814815847,0.07504960971536624,-0.3520436133960609,3442,-0.0955973950266911,-0.09427519832559664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2005Q4,Air Travel: 203,-2.9277266844926078,0.8183423521759444,-0.367122532845748,1.3125945882836054,0.7564263572616303,1.2261995232704832,0.03274825949684755,-0.3737484501909441,0.19911925990381396,0.5626060734409392,0.8187272368787395,0.8226078605671909,-0.2158004076267911,-0.2158004076267623,0.3919640056894504,0.37842399469898375,-0.12237406814815847,0.07504960971536624,3435,-0.08347725859999203,-0.0955973950266911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2006Q1,Air Travel: 203,1.9089700463959067,-2.9277266844926078,0.8183423521759444,0.9994124776110368,1.3125945882836054,0.7564263572616303,0.19949094752080446,0.03274825949684755,-0.3737484501909441,0.6479797945868726,0.5626060734409392,0.8187272368787395,-1.2287410964871264,-0.2158004076267911,-0.2158004076267623,-0.07104391190364298,0.37842399469898375,-0.12237406814815847,3423,-0.08424854000896377,-0.08347725859999203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2006Q2,Air Travel: 203,-0.5567969144492185,1.9089700463959067,-2.9277266844926078,1.2585976726504042,0.9994124776110368,1.3125945882836054,0.3013213646530909,0.19949094752080446,0.03274825949684755,0.6790247840944849,0.6479797945868726,0.5626060734409392,1.2023165567777243,-1.2287410964871264,-0.2158004076267911,0.7923556392861751,-0.07104391190364298,0.37842399469898375,3511,-0.08557073671005823,-0.08424854000896377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2006Q3,Air Travel: 203,2.1460630234002487,-0.5567969144492185,1.9089700463959067,0.9508152535411556,1.2585976726504042,0.9994124776110368,0.5556516140596713,0.3013213646530909,0.19949094752080446,0.5393223313102299,0.6790247840944849,0.6479797945868726,-0.013212269854701001,1.2023165567777243,-1.2287410964871264,-0.39810913823088295,0.7923556392861751,-0.07104391190364298,3621,-0.07587462756869896,-0.08557073671005823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2006Q4,Air Travel: 203,-3.496749829303025,2.1460630234002487,-0.5567969144492185,1.1830019907639222,0.9508152535411556,1.2585976726504042,0.9588727288787964,0.5556516140596713,0.3013213646530909,0.7294728920443545,0.5393223313102299,0.6790247840944849,0.18937586791738908,-0.013212269854701001,1.2023165567777243,-0.3803410072231657,-0.39810913823088295,0.7923556392861751,3716,-0.0637544911419999,-0.07587462756869896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007Q1,Air Travel: 203,1.6718770693915668,-3.496749829303025,2.1460630234002487,1.177602299200602,1.1830019907639222,0.9508152535411556,0.8923766152068685,0.9588727288787964,0.5556516140596713,0.4190229969682329,0.7294728920443545,0.5393223313102299,-0.8235648209430038,0.18937586791738908,-0.013212269854701001,0.4323864666483477,-0.3803410072231657,-0.39810913823088295,3705,-0.05328710059166887,-0.0637544911419999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2007Q2,Air Travel: 203,-0.6516341052509549,1.6718770693915668,-3.496749829303025,1.3665915039168068,1.177602299200602,1.1830019907639222,0.7416992512481475,0.8923766152068685,0.9588727288787964,0.7449953867981606,0.4190229969682329,0.7294728920443545,0.5945521434615118,-0.8235648209430038,0.18937586791738908,-0.1427745148607242,0.4323864666483477,-0.3803410072231657,4241,-0.05449911423433878,-0.05328710059166887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
